,0
0,got
1,phone
2,gift
3,like
4,overall
5,design
6,phone
7,feels
8,like
9,premium
10,phone
11,use
12,camera
13,device
14,see
15,flickering
16,screen
17,extremely
18,evident
19,even
20,video
21,playback
22,ridiculous
23,marketing
24,device
25,one
26,usp
27,great
28,camera
29,understand
30,devices
31,may
32,faulty
33,return
34,experience
35,seamless
36,users
37,called
38,amazon
39,ive
40,told
41,someone
42,need
43,come
44,inspect
45,phone
46,decide
47,replace
48,find
49,annoying
50,wait
51,replacement
52,something
53,evidently
54,wrong
55,phone
56,send
57,video
58,using
59,prove
60,faulty
61,user
62,experience
63,imagined
64,unlke
65,usa
66,service
67,lacking
68,amazon
69,bought
70,phone
71,first
72,day
73,salerear
74,camera
75,decent
76,know
77,got
78,defective
79,piece
80,plz
81,avoid
82,buying
83,1
84,might
85,hear
86,voice
87,clearly
88,might
89,hear
90,echoes
91,crackling
92,side
93,2
94,phone
95,heating
96,badly
97,display
98,camera
99,great
100,phone
101,looks
102,good
103,supports
104,type
105,c
106,headphones
107,might
108,problem
109,1
110,display
111,quality
112,average
113,though
114,touch
115,response
116,good
117,2
118,call
119,quality
120,poor
121,voice
122,person
123,speaking
124,side
125,barely
126,audible
127,mean
128,come
129,basic
130,thing
131,expect
132,mobile
133,phone
134,understand
135,used
136,screen
137,sound
138,casting
139,technology
140,3
141,non
142,existence
143,35
144,mm
145,headphone
146,jack
147,big
148,deal
149,nice
150,phone
151,segment
152,budget
153,phone
154,superb
155,look
156,type
157,c
158,fast
159,charger
160,type
161,c
162,earphone
163,box
164,running
165,smooth
166,worst
167,camera
168,ear
169,piece
170,really
171,horrible
172,samsung
173,pay
174,also
175,honestly
176,worst
177,phone
178,buy
179,voice
180,quality
181,call
182,poor
183,sounds
184,robotic
185,really
186,hard
187,understand
188,caller
189,may
190,due
191,display
192,earpiece
193,bad
194,experience
195,moreover
196,one
197,cannot
198,replace
199,return
200,item
201,amazon
202,letting
203,got
204,phone
205,gift
206,like
207,overall
208,design
209,phone
210,feels
211,like
212,premium
213,phone
214,use
215,camera
216,device
217,see
218,flickering
219,screen
220,extremely
221,evident
222,even
223,video
224,playback
225,ridiculous
226,marketing
227,device
228,one
229,usp
230,great
231,camera
232,understand
233,devices
234,may
235,faulty
236,return
237,experience
238,seamless
239,users
240,called
241,amazon
242,ive
243,told
244,someone
245,need
246,come
247,inspect
248,phone
249,decide
250,replace
251,find
252,annoying
253,wait
254,replacement
255,something
256,evidently
257,wrong
258,phone
259,send
260,video
261,using
262,prove
263,faulty
264,user
265,experience
266,imagined
267,unlke
268,usa
269,service
270,lacking
271,amazon
272,plz
273,avoid
274,buying
275,1
276,might
277,hear
278,voice
279,clearly
280,might
281,hear
282,echoes
283,crackling
284,side
285,2
286,phone
287,heating
288,badly
289,display
290,camera
291,great
292,phone
293,looks
294,good
295,supports
296,type
297,c
298,headphones
299,might
300,problem
301,1
302,display
303,quality
304,average
305,though
306,touch
307,response
308,good
309,2
310,call
311,quality
312,poor
313,voice
314,person
315,speaking
316,side
317,barely
318,audible
319,mean
320,come
321,basic
322,thing
323,expect
324,mobile
325,phone
326,understand
327,used
328,screen
329,sound
330,casting
331,technology
332,3
333,non
334,existence
335,35
336,mm
337,headphone
338,jack
339,big
340,deal
341,nice
342,phone
343,segment
344,budget
345,phone
346,superb
347,look
348,type
349,c
350,fast
351,charger
352,type
353,c
354,earphone
355,box
356,running
357,smooth
358,worst
359,camera
360,ear
361,piece
362,really
363,horrible
364,samsung
365,pay
366,also
367,honestly
368,worst
369,phone
370,buy
371,voice
372,quality
373,call
374,poor
375,sounds
376,robotic
377,really
378,hard
379,understand
380,caller
381,may
382,due
383,display
384,earpiece
385,bad
386,experience
387,moreover
388,one
389,cannot
390,replace
391,return
392,item
393,amazon
394,letting
395,camera
396,useless
397,worth
398,buying
399,phone
400,20k
401,worst
402,experience
403,battery
404,drains
405,fastmany
406,applications
407,supported
408,voice
409,clearty
410,bad
411,please
412,dont
413,buy
414,main
415,issue
416,battery
417,heating
418,taking
419,23
420,pics
421,also
422,draining
423,fast
424,seen
425,first
426,day
427,want
428,change
429,model
430,help
431,please
432,choose
433,option
434,worthy
435,money
436,phone
437,looks
438,good
439,camera
440,touch
441,performance
442,battery
443,performance
444,poor
445,3500mah
446,screen
447,speaker
448,vibrates
449,lot
450,bad
451,voice
452,clarity
453,music
454,dolby
455,atmos
456,great
457,camera
458,quality
459,worst
460,pathetic
461,battery
462,life
463,average
464,draining
465,fast
466,display
467,quality
468,looks
469,like
470,5k
471,smartphone
472,low
473,sound
474,effects
475,vibration
476,screen
477,calls
478,clear
479,totally
480,disappointed
481,m40
482,want
483,throw
484,back
485,dustbin
486,dont
487,purchase
488,money
489,good
490,looks
491,stunning
492,performance
493,good
494,one
495,ui
496,awesome
497,need
498,improve
499,screen
500,sound
501,technology
502,camera
503,quality
504,really
505,bad
506,feels
507,like
508,device
509,2019
510,camera
511,quality
512,2015
513,device
514,started
515,heat
516,1530
517,minutes
518,video
519,call
520,whatsapp
521,previously
522,used
523,use
524,redmi
525,note
526,5
527,pro
528,never
529,faced
530,heating
531,issue
532,xiomi
533,deviceand
534,hell
535,lot
536,bugs
537,voice
538,call
539,quality
540,good
541,enough
542,feel
543,vibrations
544,ears
545,makes
546,really
547,difficult
548,understand
549,simple
550,conversation
551,battery
552,drains
553,drastically
554,features
555,respond
556,expected
557,expecting
558,samsung
559,india
560,come
561,proper
562,updates
563,tried
564,replace
565,device
566,phone
567,asking
568,refund
569,customer
570,care
571,provides
572,policy
573,change
574,bullshit
575,though
576,option
577,replace
578,refund
579,option
580,amazon
581,app
582,scheduled
583,technician
584,check
585,customer
586,care
587,27062019
588,rescheduled
589,28062019
590,without
591,concern
592,user
593,amazon
594,india
595,really
596,degrading
597,status
598,customer
599,service
600,new
601,policies
602,no1
603,internet
604,brand
605,india
606,expected
607,battery
608,4000mah
609,finished
610,morning
611,10
612,30
613,evening
614,7
615,pm
616,charge
617,old
618,a5
619,2017
620,3000mah
621,lasted
622,day
623,charger
624,cord
625,third
626,grade
627,less
628,meter
629,thin
630,like
631,cheap
632,rs
633,50
634,cord
635,lookwise
636,operation
637,wise
638,superb
639,phone
640,operates
641,smoothly
642,sanpdragon
643,display
644,awesome
645,specially
646,lighting
647,around
648,front
649,camera
650,holding
651,hand
652,gives
653,super
654,premium
655,feeling
656,like
657,camera
658,quality
659,bokeh
660,effect
661,pathetic
662,even
663,full
664,day
665,light
666,low
667,light
668,photgraphy
669,night
670,upto
671,mark
672,except
673,camera
674,outstanding
675,phone
676,7
677,days
678,use
679,notification
680,big
681,problem
682,cant
683,even
684,turn
685,get
686,useless
687,notification
688,34
689,times
690,day
691,option
692,turn
693,samsung
694,justify
695,give
696,option
697,turn
698,voice
699,clarity
700,reproduced
701,well
702,even
703,slightly
